report_date,channel, spend 
1/2/2021,facebook,56634.00
1/2/2021,google brand search,3422.00
1/2/2021,google non-brand search,3714.00
1/2/2021,google uac,12059.00
1/2/2021,influencer,4355.00
1/2/2021,referral,482.00
1/2/2021,snapchat,3702.00
1/2/2021,tiktok,94.00
1/3/2021,facebook,60892.00
1/3/2021,google brand search,3575.00
1/3/2021,google non-brand search,3674.00
1/3/2021,google uac,17747.00
1/3/2021,influencer,8563.00
1/3/2021,referral,545.00
1/3/2021,snapchat,2058.00
1/3/2021,tiktok,83.00
1/4/2021,facebook,72975.00
1/4/2021,google brand search,4365.00
1/4/2021,google non-brand search,5176.00
1/4/2021,google uac,19819.00
1/4/2021,influencer,6195.00
1/4/2021,referral,460.00
1/4/2021,snapchat,915.00
1/4/2021,tiktok,56.00
1/5/2021,facebook,78466.00
1/5/2021,google brand search,4003.00
1/5/2021,google non-brand search,5746.00
1/5/2021,google uac,18267.00
1/5/2021,impact radius, $-   
1/5/2021,influencer,4420.00
1/5/2021,referral,531.00
1/5/2021,snapchat,2736.00
1/5/2021,tiktok,86.00
1/6/2021,facebook,74990.00
1/6/2021,google brand search,3425.00
1/6/2021,google non-brand search,5929.00
1/6/2021,google uac,16584.00
1/6/2021,influencer,2958.00
1/6/2021,referral,1096.00
1/6/2021,snapchat,1772.00
1/6/2021,tiktok,236.00
1/7/2021,facebook,79229.00
1/7/2021,google brand search,3164.00
1/7/2021,google non-brand search,5476.00
1/7/2021,google uac,16091.00
1/7/2021,influencer,2353.00
1/7/2021,referral,720.00
1/7/2021,snapchat,4245.00
1/7/2021,tiktok,43.00
1/8/2021,facebook,61079.00
1/8/2021,google brand search,3345.00
1/8/2021,google non-brand search,4536.00
1/8/2021,google uac,15186.00
1/8/2021,influencer,1343.00
1/8/2021,referral,556.00
1/8/2021,snapchat,3619.00
1/8/2021,tiktok,32.00
1/9/2021,facebook,35272.00
1/9/2021,google brand search,2792.00
1/9/2021,google non-brand search,4226.00
1/9/2021,google uac,12403.00
1/9/2021,influencer,487.00
1/9/2021,referral,567.00
1/9/2021,snapchat,3853.00
1/9/2021,tiktok,72.00
