Period - Year,Period - Month,Date_key,Apple Search Ads,Facebook,Promos,Referral,Prodege,Impact Radius,Tiktok,Snapchat,Influencer,Google,,DSA (Daily_Spend_Attribution),Finance Total,Netsuite total
2019, Jan , 2019 Jan ,"  3,073.18 ","  12,316.09 ", ? , ? ,,,,"  2,675.01 ",,"  13,900.00 ",,,,
, Feb , 2019 Feb ,"  6,075.27 ","  69,300.16 ", ? , ? ,,,,"  4,990.80 ",,"  39,330.54 ",,,,
, Mar , 2019 Mar ,"  5,064.95 ","  104,381.94 ", ? , ? ,,,,"  6,123.71 ",,"  29,500.00 ",,,,
, Apr , 2019 Apr ,"  3,520.25 ","  131,400.00 ", ? , ? ,,,,"  25,903.41 ",,"  21,500.00 ",,,,
, May , 2019 May ,"  9,621.45 ","  142,632.60 ", ? , ? ,,,,"  27,707.18 ",,"  21,500.00 ",,,,
, Jun , 2019 Jun ,"  12,714.87 ","  114,304.71 ", ? , ? ,,,,"  27,879.05 ",,"  21,000.00 ",,,,
, Jul , 2019 Jul ,"  10,625.16 ","  97,246.82 ", ? , ? ,,,,"  55,653.22 ",,"  25,950.21 ",,,,
, Aug , 2019 Aug ,"  7,551.71 ","  104,252.05 ", ? , ? ,,,,"  29,992.27 ",,"  31,699.62 ",,,,
, Sep , 2019 Sep ,"  9,619.74 ","  123,872.45 ", ? , ? ,,,"  5,308.85 ","  20,701.61 ",,"  43,657.46 ",,,,
, Oct , 2019 Oct ,"  18,961.80 ","  265,014.16 ", ? , ? ,,,"  3,142.19 ","  69,446.06 ",,"  143,000.00 ",,,,
, Nov , 2019 Nov ,"  17,714.59 ","  385,040.61 ", ? , ? ,,,"  1,874.33 ","  67,432.67 ",,"  106,000.00 ",,,,
, Dec , 2019 Dec ,"  23,134.34 ","  347,944.74 ", ? , ? ,,,"  1,962.44 ","  50,712.91 ",,"  71,500.00 ",,,,
2019 Total,,,"  127,677.31 ","  1,897,706.33 ",  -   ,  -   ,  -   ,  -   ,"  12,287.81 ","  389,217.90 ",  -   ,"  568,537.83 ",,"  3,499,892.90 ","  2,995,427.18 ","  4,125,887.00 "
2020, Jan , 2020 Jan ,"  40,225.55 ","  408,038.78 ", ? , ? ,,,"  2,011.54 ","  77,901.67 ",,"  62,000.00 ",,,,
, Feb , 2020 Feb ,"  35,242.03 ","  315,620.01 ", ? , ? ,,,"  1,212.86 ","  51,725.49 ",,"  44,500.00 ",,,,
, Mar , 2020 Mar ,"  40,394.75 ","  313,082.25 ", ? , ? ,  790.00 ,,  ,"  48,533.84 ",,"  54,500.00 ",,,,
, Apr , 2020 Apr ,"  35,361.75 ","  440,629.10 ", ? , ? ,  740.00 ,,  ,"  108,986.11 ",,"  30,500.00 ",,,,
, May , 2020 May ,"  35,221.43 ","  433,004.88 ", ? , ? ,"  1,920.00 ",,  ,"  79,730.62 ",,"  30,000.00 ",,,,
, Jun , 2020 Jun ,"  55,929.59 ","  359,963.21 ", ? , ? ,"  9,480.00 ",,"  1,971.45 ","  67,845.94 ",,"  52,000.00 ",,,,
, Jul , 2020 Jul ,"  82,150.25 ","  569,930.55 ", ? , ? ,"  9,600.00 ",,"  2,493.80 ","  76,330.17 ",,"  91,000.00 ",,,,
, Aug , 2020 Aug ,"  60,623.61 ","  709,612.58 ", ? , ? ,"  6,840.00 ",,  92.63 ,"  77,113.93 ",,"  122,000.00 ",,,,
, Sep , 2020 Sep ,"  65,626.98 ","  658,684.23 ", ? , ? ,"  12,240.00 ",,  ,"  67,778.90 ",,"  140,500.00 ",,,,
, Oct , 2020 Oct ,"  101,714.48 ","  1,171,181.24 ", ? , ? ,"  6,360.00 ",,  23.01 ,"  103,907.47 ",,"  246,000.00 ",,,,
, Nov , 2020 Nov ,"  91,281.87 ","  1,189,763.96 ", ? , ? ,"  23,160.00 ",,"  3,734.26 ","  106,709.09 ",,"  280,000.00 ",,,,
, Dec , 2020 Dec ,"  109,356.08 ","  1,409,492.74 ", ? , ? ,"  28,800.00 ",,"  2,068.54 ","  95,086.63 ",,"  518,500.00 ",,,,
2020 Total,,,"  753,128.37 ","  7,979,003.53 ",  -   ,  -   ,"  99,930.00 ",  -   ,"  13,608.09 ","  961,649.86 ",  -   ,"  1,671,500.00 ",,"  12,965,683.64 ","  11,478,819.85 ","  14,496,627.00 "
2021, Jan , 2021 Jan ,"  177,489.17 ","  1,970,003.69 ", ? , ? ,"  34,720.00 ",,"  1,552.61 ","  93,175.25 ",,"  881,500.00 ",,,,
, Feb , 2021 Feb ,"  168,836.43 ","  1,599,487.16 ", ? , ? ,"  34,200.00 ",,"  7,405.84 ","  134,406.16 ",,"  903,500.00 ",,,,
, Mar , 2021 Mar ,"  156,108.66 ","  1,361,110.84 ", ? , ? ,"  33,920.00 ",,"  65,622.26 ","  51,398.78 ",,"  920,000.00 ",,,,
, Apr , 2021 Apr ,"  163,879.94 ","  2,265,005.08 ", ? , ? ,"  23,200.00 ","  1,105.00 ","  117,621.41 ","  69,706.04 ",,"  1,522,000.00 ",,,,
, May , 2021 May ,"  174,420.44 ","  2,340,103.57 ", ? , ? ,"  17,400.00 ","  2,490.00 ","  216,684.33 ","  136,384.97 ",,"  2,102,000.00 ",,,,
, Jun , 2021 Jun ,"  149,383.72 ","  2,279,148.32 ", ? , ? ,"  9,800.00 ","  15,984.00 ","  116,830.34 ","  194,916.30 ",,"  1,687,500.00 ",,,,
, Jul , 2021 Jul ,"  143,393.50 ","  3,689,534.92 ", ? , ? ,"  26,400.00 ","  5,389.00 ","  180,462.12 ","  401,869.09 ",,"  2,062,000.00 ",,,,
, Aug , 2021 Aug ,"  244,908.57 ","  3,110,172.00 ", ? , ? ,"  20,440.00 ","  11,267.00 ","  216,760.56 ","  419,498.62 ",,"  1,508,500.00 ",,,,
, Sep , 2021 Sep ,"  232,646.47 ","  2,028,248.26 ", ? , ? ,"  18,820.00 ","  19,366.00 ","  283,459.38 ","  240,329.63 ",,"  1,332,500.00 ",,,,
, Oct , 2021 Oct ,"  271,873.28 ","  3,257,908.38 ", ? , ? ,"  7,500.00 ","  24,316.00 ","  165,362.70 ","  160,232.42 ",,"  1,346,500.00 ",,,,
, Nov , 2021 Nov ,"  207,414.86 ","  2,064,123.72 ", ? , ? ,"  37,650.00 ","  23,938.00 ","  239,093.55 ","  136,882.88 ",,"  1,359,000.00 ",,,,
, Dec , 2021 Dec ,"  258,645.08 ","  1,049,902.55 ", ? , ? ,"  20,250.00 ","  46,612.00 ","  427,722.29 ","  140,660.30 ",,"  1,468,000.00 ",,,,
2021 Total,,,"  2,349,000.12 ","  27,014,748.49 ",  -   ,  -   ,"  284,300.00 ","  150,467.00 ","  2,038,577.39 ","  2,179,460.44 ",  -   ,"  17,093,000.00 ",,"  67,130,077.72 ","  51,109,553.44 ","  86,095,441.96 "
2022, Jan , 2022 Jan ,"  282,781.10 ","  1,639,871.75 ","  271,660.00 ","  15,124.00 ","  23,750.00 ","  31,329.00 ","  43,616.45 ","  154,150.60 ","  696,356.67 ","  2,131,500.00 ",,,,
, Feb , 2022 Feb ,"  175,973.24 ","  571,661.37 ","  247,131.00 ","  13,273.00 "," 21,000.00 ","  88,292.00 ",381962.06,31591.09,"  999,713.34 ","  811,500.00 ",,,,
, Mar , 2022 Mar ,"  198,598.21 ","  54,108.42 ","  164,283.00 ","  18,122.00 "," 24,500.00 ","  118,492.00 ",37019.89,,"  1,054,533.35 ","  268,500.00 ",,,,
, Apr , 2022 Apr ,"  114,598.74 ","  188,345.56 ","  89,683.97 ","  119,821.00 "," 51,150.00 ","  285,657.00 ",17839.8,,"  577,364.75 ","  378,000.00 ",,,,
