Date,Ally,Varo,SoFi,Chime
1/1/2019,7.1,-,-,-
1/2/2019,6.9,-,-,-
1/3/2019,6,-,-,-
1/4/2019,4.2,-,-,-
1/5/2019,1.9,-,-,-
1/6/2019,4.1,-,-,-
1/7/2019,7.2,-,-,-
1/8/2019,10.3,-,-,-
1/9/2019,8.6,-,-,-
1/10/2019,5,-,-,-
1/11/2019,6.7,-,-,-
1/12/2019,5.2,-,-,-
1/13/2019,10.7,-,-,-
1/14/2019,7.3,-,-,-
1/15/2019,9.8,-,-,-
1/16/2019,2.7,-,-,-
1/17/2019,6.4,-,-,-
1/18/2019,11.5,-,-,-
1/19/2019,6.2,-,-,-
1/20/2019,6.4,-,-,-
1/21/2019,4.7,-,-,-
1/22/2019,9.8,-,-,-
1/23/2019,5.5,-,-,-
1/24/2019,14.5,-,-,-
1/25/2019,13.3,-,-,-
1/26/2019,5,-,-,-
1/27/2019,8.1,-,-,-
1/28/2019,3.9,-,-,-
1/29/2019,8.1,-,-,-
1/30/2019,5.5,-,-,-
1/31/2019,13.6,-,-,-
2/1/2019,7,-,-,-
2/2/2019,7.3,-,-,-
2/3/2019,5.1,-,-,-
2/4/2019,4.6,-,-,-
2/5/2019,2.3,-,-,-
2/6/2019,9.9,-,-,-
2/7/2019,3.9,-,-,-
2/8/2019,3.9,-,-,-
2/9/2019,4,-,-,-
2/10/2019,10.8,-,-,-
2/11/2019,8.3,-,-,-
2/12/2019,4.1,-,-,-
2/13/2019,10.1,-,-,-
2/14/2019,4.7,-,-,-
2/15/2019,8.9,-,-,-
2/16/2019,9.1,-,-,-
2/17/2019,5.5,-,-,-
2/18/2019,5.3,-,-,-
2/19/2019,8.2,-,-,-
2/20/2019,3.1,-,-,-
2/21/2019,5.3,-,-,-
2/22/2019,6.8,-,-,-
2/23/2019,8.5,-,-,-
2/24/2019,4.6,-,-,-
2/25/2019,4.6,-,-,-
2/26/2019,3.9,-,-,-
2/27/2019,12.1,-,-,-
2/28/2019,4,-,-,-
3/1/2019,2.5,-,-,-
3/2/2019,8.6,-,-,-
3/3/2019,9.6,-,-,-
3/4/2019,2.7,-,-,-
3/5/2019,10.4,-,-,-
3/6/2019,5.1,-,-,-
3/7/2019,5.8,-,-,-
3/8/2019,7.8,-,-,-
3/9/2019,6.8,-,-,-
3/10/2019,3.6,-,-,-
3/11/2019,7.9,-,-,-
3/12/2019,8.5,-,-,-
3/13/2019,9.2,-,-,-
3/14/2019,6,-,-,-
3/15/2019,7.4,-,-,-
3/16/2019,5.3,-,-,-
3/17/2019,8.8,-,-,-
3/18/2019,8.7,-,-,-
3/19/2019,7.5,-,-,-
3/20/2019,7.8,-,-,-
3/21/2019,3.8,-,-,-
3/22/2019,3,-,-,-
3/23/2019,4.6,-,-,-
3/24/2019,7.7,-,-,-
3/25/2019,10.2,-,-,-
3/26/2019,5.9,-,-,-
3/27/2019,8.5,-,-,-
3/28/2019,8.6,-,-,-
3/29/2019,7.7,-,-,-
3/30/2019,7.7,-,-,-
3/31/2019,10.4,-,-,-
4/1/2019,10,-,-,-
4/2/2019,5.4,-,-,-
4/3/2019,11.4,-,-,-
4/4/2019,6.2,-,-,-
4/5/2019,4.3,-,-,-
4/6/2019,3.4,-,-,-
4/7/2019,5.8,-,-,-
4/8/2019,9.3,-,-,-
4/9/2019,1.8,-,-,-
4/10/2019,5.6,-,-,-
4/11/2019,5.8,-,-,-
4/12/2019,6.4,-,-,-
4/13/2019,3.4,-,-,-
4/14/2019,9.9,-,-,-
4/15/2019,2,-,-,-
4/16/2019,9,-,-,-
4/17/2019,9.3,-,-,-
4/18/2019,5.4,-,-,-
4/19/2019,6.1,-,-,-
4/20/2019,5,-,-,-
4/21/2019,4.5,-,-,-
4/22/2019,4.5,-,-,-
4/23/2019,11,-,-,-
4/24/2019,7.3,-,-,-
4/25/2019,9.6,-,-,-
4/26/2019,9.1,-,-,-
4/27/2019,10.7,-,-,-
4/28/2019,3.7,-,-,-
4/29/2019,11.1,-,-,-
4/30/2019,11.8,-,-,-
5/1/2019,6.5,-,-,-
5/2/2019,6.6,-,-,-
5/3/2019,4,-,-,-
5/4/2019,6.7,-,-,-
5/5/2019,9.1,-,-,-
5/6/2019,3.9,-,-,-
5/7/2019,8.4,-,-,-
5/8/2019,5.3,-,-,-
5/9/2019,6.6,-,-,-
5/10/2019,8.3,-,-,-
5/11/2019,9.1,-,-,-
5/12/2019,11.3,-,-,-
5/13/2019,5.8,-,-,-
5/14/2019,14.1,-,-,-
5/15/2019,2.9,-,-,-
5/16/2019,7.6,-,-,-
5/17/2019,4.6,-,-,-
5/18/2019,5.2,-,-,-
5/19/2019,5.7,-,-,-
5/20/2019,7.9,-,-,-
5/21/2019,5,-,-,-
5/22/2019,4.9,-,-,-
5/23/2019,11.6,-,-,-
5/24/2019,8.6,-,-,-
5/25/2019,2.6,-,-,-
5/26/2019,6.1,-,-,-
