Category:;All;categories;;
;;;;
Month;varo;chime;ally;sofi
2019-01;1;24;71;8
2019-02;2;27;75;9
2019-03;2;24;67;9
2019-04;2;24;74;8
2019-05;2;27;70;9
2019-06;2;29;75;10
2019-07;2;36;81;10
2019-08;2;34;72;10
2019-09;2;35;68;16
2019-10;3;51;70;14
2019-11;3;38;66;12
2019-12;3;43;69;12
2020-01;4;48;80;13
2020-02;5;53;82;15
2020-03;4;44;77;15
2020-04;5;59;75;12
2020-05;4;51;72;12
2020-06;5;54;87;14
2020-07;5;60;76;13
2020-08;5;53;73;14
2020-09;5;50;69;28
2020-10;5;56;64;13
2020-11;5;49;59;10
2020-12;7;64;65;12
2021-01;6;63;73;21
2021-02;7;54;69;20
2021-03;8;67;66;13
2021-04;10;63;64;13
2021-05;8;56;69;16
2021-06;7;54;69;27
2021-07;6;52;66;26
2021-08;6;52;66;36
2021-09;6;49;58;43
2021-10;7;48;55;50
2021-11;7;51;59;48
2021-12;6;64;59;39
2022-01;7;57;82;65
2022-02;8;63;79;85
2022-03;8;58;73;38
2022-04;8;51;73;34
2022-05;8;53;68;36
2022-06;7;56;80;29
2022-07;7;62;70;30
2022-08;6;58;77;43
2022-09;6;52;72;40
2022-10;6;53;73;36
2022-11;6;52;75;42
2022-12;6;56;79;39
2023-01;5;54;80;48
2023-02;6;60;81;35
2023-03;5;55;86;40
2023-04;5;53;79;35
2023-05;6;56;85;40
2023-06;6;57;100;51
2023-07;6;68;89;63
2023-08;6;59;85;71
2023-09;5;56;78;49
2023-10;5;56;83;49
2023-11;6;58;81;43
2023-12;5;56;85;46
2024-01;5;56;97;50
2024-02;6;59;88;46
2024-03;5;53;88;47
