Category: All categories

Month,quarantine: (United States)
2019-01,1
2019-02,1
2019-03,1
2019-04,1
2019-05,1
2019-06,1
2019-07,1
2019-08,1
2019-09,1
2019-10,1
2019-11,1
2019-12,1
2020-01,2
2020-02,6
2020-03,100
2020-04,86
2020-05,52
2020-06,32
2020-07,42
2020-08,31
2020-09,23
2020-10,23
2020-11,25
2020-12,27
2021-01,20
2021-02,14
2021-03,12
2021-04,11
2021-05,7
2021-06,5
2021-07,7
2021-08,15
2021-09,12
2021-10,8
2021-11,8
2021-12,26
2022-01,32
2022-02,7
2022-03,4
2022-04,6
2022-05,10
2022-06,10
2022-07,11
2022-08,10
2022-09,5
2022-10,4
2022-11,4
2022-12,5
2023-01,3
2023-02,3
2023-03,3
2023-04,2
2023-05,2
2023-06,1
2023-07,2
2023-08,3
2023-09,3
2023-10,2
2023-11,2
2023-12,3
2024-01,3
2024-02,2
2024-03,2
