,radio_spend_interpolated,radio_impressions
12-20-2023,8425,1811200
12-21-2023,12400,2173488
12-22-2023,13680,2082972
12-23-2023,5800,543396
12-24-2023,5115,543408
12-25-2023,7160,2083110
12-26-2023,6670,2083156
12-27-2023,6550,2037915
12-28-2023,7110,2083248
12-29-2023,6690,1947427
12-30-2023,5800,498190
12-31-2023,5115,498201
01-01-2024,8375.6828,2128724
01-02-2024,8197.657775,2083478
01-03-2024,8554.266539,2174112
01-04-2024,8376.237579,2128865
01-05-2024,8554.644261,2174208
01-06-2024,2138.70828,543564
01-07-2024,2138.755496,543576
01-08-2024,7170,2264950
01-09-2024,7625,2310300
01-10-2024,7185,2310351
01-11-2024,7160,2265100
01-12-2024,6440,2265150
01-13-2024,5800,453040
01-14-2024,5115,543660
01-15-2024,6015,1857546
01-16-2024,7030,1902894
01-17-2024,6495,1857628
01-18-2024,6840,1902978
01-19-2024,6400,1721780
01-20-2024,5800,543732
01-21-2024,5115,543744
01-22-2024,8025,2310963
01-23-2024,6945,2311014
01-24-2024,7385,2311065
01-25-2024,5985,2084536
01-26-2024,6715,2039265
01-27-2024,5825,498498
01-28-2024,5115,543828
