"","rn","coef","xDecompAgg","xDecompPerc","xDecompMeanNon0","xDecompMeanNon0Perc","xDecompAggRF","xDecompPercRF","xDecompMeanNon0RF","xDecompMeanNon0PercRF","pos","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","solID","trial","iterNG","iterPar","iterations","robynPareto","total_spend","mean_spend","mean_spend_adstocked","mean_carryover","mean_response","spend_share","effect_share","roi_mean","roi_total","cpa_total","cluster","top_sol","boot_mean","boot_se","ci_low","ci_up","carryover_pct"
"1","(Intercept)",41.8536389085877,44950.8081878232,0.267707749317034,41.8536389085877,0.293090355411879,44950.8081878232,0.267707749317034,41.8536389085877,0.293090355411879,TRUE,1,0.828211238570565,NA,NA,0.062835135969081,NA,NA,0.062835135969081,0.164902032376308,0,3.29316979365895,0.0004830261141,5648.87673040264,1e-04,"1_179_5",1,179,5,1251,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,FALSE,NA,NA,NA,NA,NA
"2","trend",0.571243847890923,96449.2417813888,0.574410349481203,89.8037632973825,0.628872843282296,96449.2417813888,0.574410349481203,89.8037632973825,0.628872843282296,TRUE,1,0.828211238570565,NA,NA,0.062835135969081,NA,NA,0.062835135969081,0.164902032376308,0,3.29316979365895,0.0004830261141,5648.87673040264,1e-04,"1_179_5",1,179,5,1251,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,FALSE,NA,NA,NA,NA,NA
"3","season",0.659930539891596,38.5564430440096,0.000229625650908282,0.0358998538584785,0.000251397517659021,38.5564430440096,0.000229625650908282,0.0358998538584785,0.000251397517659021,TRUE,1,0.828211238570565,NA,NA,0.062835135969081,NA,NA,0.062835135969081,0.164902032376308,0,3.29316979365895,0.0004830261141,5648.87673040264,1e-04,"1_179_5",1,179,5,1251,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,FALSE,NA,NA,NA,NA,NA
"4","weekday",0.867274991292853,-38.4132934383034,-0.000228773113205309,-0.0357665674472106,-0.000250464146925466,-38.4132934383034,-0.000228773113205309,-0.0357665674472106,-0.000250464146925466,FALSE,1,0.828211238570565,NA,NA,0.062835135969081,NA,NA,0.062835135969081,0.164902032376308,0,3.29316979365895,0.0004830261141,5648.87673040264,1e-04,"1_179_5",1,179,5,1251,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,FALSE,NA,NA,NA,NA,NA
"5","holiday",0.902148027839615,-867.365377107968,-0.00516565646541581,-21.6841344276992,-0.151848461255523,-867.365377107968,-0.00516565646541581,-21.6841344276992,-0.151848461255523,FALSE,1,0.828211238570565,NA,NA,0.062835135969081,NA,NA,0.062835135969081,0.164902032376308,0,3.29316979365895,0.0004830261141,5648.87673040264,1e-04,"1_179_5",1,179,5,1251,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,FALSE,NA,NA,NA,NA,NA
"6","A",0.180605178833525,1163.09735168791,0.00692690936625517,1.09006312248163,0.00763343394554807,1163.09735168791,0.00692690936625517,1.09006312248163,0.00763343394554807,TRUE,1,0.828211238570565,NA,NA,0.062835135969081,NA,NA,0.062835135969081,0.164902032376308,0,3.29316979365895,0.0004830261141,5648.87673040264,1e-04,"1_179_5",1,179,5,1251,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,FALSE,NA,NA,NA,NA,NA
"7","C",-0.254504893435318,-3170.36745752377,-0.0188813498750746,0,0,-3170.36745752377,-0.0188813498750746,0,0,FALSE,1,0.828211238570565,NA,NA,0.062835135969081,NA,NA,0.062835135969081,0.164902032376308,0,3.29316979365895,0.0004830261141,5648.87673040264,1e-04,"1_179_5",1,179,5,1251,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,FALSE,NA,NA,NA,NA,NA
"8","V",0.676374971516802,806.238966048023,0.00480161375765602,1.83653523017774,0.0128607876728441,806.238966048023,0.00480161375765602,1.83653523017774,0.0128607876728441,TRUE,1,0.828211238570565,NA,NA,0.062835135969081,NA,NA,0.062835135969081,0.164902032376308,0,3.29316979365895,0.0004830261141,5648.87673040264,1e-04,"1_179_5",1,179,5,1251,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,FALSE,NA,NA,NA,NA,NA
"9","apple_brand_search",0,0,0,0,0,0,0,0,0,TRUE,1,0.828211238570565,NA,NA,0.062835135969081,NA,NA,0.062835135969081,0.164902032376308,0,3.29316979365895,0.0004830261141,5648.87673040264,1e-04,"1_179_5",1,179,5,1251,3,2451920,2282.97951582868,2647.06749450448,364.087978675806,0,0.0245196859801761,0,0,0,Inf,6,FALSE,0.000213297651115604,2.16434951443571e-05,0,0.000469794759031826,0
"10","apple_non_brand_search",0,0,0,0,0,0,0,0,0,TRUE,1,0.828211238570565,NA,NA,0.062835135969081,NA,NA,0.062835135969081,0.164902032376308,0,3.29316979365895,0.0004830261141,5648.87673040264,1e-04,"1_179_5",1,179,5,1251,3,353674,329.305400372438,410.169187272886,80.8637869004464,0,0.00353681009957617,0,0,0,Inf,6,FALSE,0,0,0,0,0
