report_date,channel, spend ,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/2021,facebook,56634,,,,apple brand search,apple non-brand search,direct streaming audio,direct-mail,facebook,google brand search,google non-brand search,google uac,growth-promo,impact radius,influencer,package-inserts,podcast,print,promo,radio,referral,snapchat,street-team,tiktok,tv,
1/2/2021,google brand search,3422,,,Max," 8,411 "," 3,184 "," 2,000 "," 70,092 "," 133,176 "," 12,925 "," 74,882 "," 82,656 "," 26,050 "," 32,043 "," 313,962 "," 2,707 "," 11,166 "," 5,000 "," 153,400 "," 5,728 "," 28,300 "," 25,027 "," 2,027 "," 30,366 "," 43,627 ",
1/2/2021,google non-brand search,3714,,,Min, 436 , -   ," 1,400 ", -   , -   , 115 , -   , -   , 15 , -   , -   , -   , -   ," 5,000 ", 65 , -   , 50 , -   , -   , -   , -   ,
1/2/2021,google uac,12059,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/2021,influencer,4355,,,Saturation function,,,,,,,,,,,,,,,,,,,,,,
1/2/2021,referral,482,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/2021,snapchat,3702,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/2021,tiktok,94,,,Sum of  spend ,Column Labels,,,,,,,,,,,,,,,,,,,,,
1/3/2021,facebook,60892,,,Row Labels,apple brand search,apple non-brand search,direct streaming audio,direct-mail,facebook,google brand search,google non-brand search,google uac,growth-promo,impact radius,influencer,package-inserts,podcast,print,promo,radio,referral,snapchat,street-team,tiktok,tv,Grand Total
1/3/2021,google brand search,3575,,,1/2/2021,,,,,56634,3422,3714,12059,,,4355,,,,,,482,3702,,94,,84462
1/3/2021,google non-brand search,3674,,,1/3/2021,,,,,60892,3575,3674,17747,,,8563,,,,,,545,2058,,83,,97137
1/3/2021,google uac,17747,,,1/4/2021,,,,,72975,4365,5176,19819,,,6195,,,,,,460,915,,56,,109961
1/3/2021,influencer,8563,,,1/5/2021,,,,,78466,4003,5746,18267,,0,4420,,,,,,531,2736,,86,,114255
1/3/2021,referral,545,,,1/6/2021,,,,,74990,3425,5929,16584,,,2958,,,,,,1096,1772,,236,,106990
1/3/2021,snapchat,2058,,,1/7/2021,,,,,79229,3164,5476,16091,,,2353,,,,,,720,4245,,43,,111321
1/3/2021,tiktok,83,,,1/8/2021,,,,,61079,3345,4536,15186,,,1343,,,,,,556,3619,,32,,89696
1/4/2021,facebook,72975,,,1/9/2021,,,,,35272,2792,4226,12403,,,487,,,,,,567,3853,,72,,59672
1/4/2021,google brand search,4365,,,1/10/2021,,,,,34297,3126,3597,14146,,,484,,,,,,1016,2707,,205,,59578
1/4/2021,google non-brand search,5176,,,1/11/2021,,,,,39547,3552,4950,11818,,,3381,,,,,,587,1601,,74,,65510
1/4/2021,google uac,19819,,,1/12/2021,,,,,37096,4383,5092,12188,,,15462,,,,,,1012,909,,35,,76177
1/4/2021,influencer,6195,,,1/13/2021,,,,,41997,5598,5634,13874,,,11601,,,,,,1587,681,,10,,80982
1/4/2021,referral,460,,,1/14/2021,,,,,46350,6584,5683,16075,,,17116,,,,,,1001,1183,,31,,94023
