report_date,apple brand search.var,apple non-brand search.var,direct-mail.var,facebook.var,google brand search.var,google non-brand search.var,google uac.var,impact radius.var,influencer.var,misc.var,podcast.var,promo.var,radio.var,snapchat.var,tiktok.var,tv.var,num_uvs,num_d35_payrolls,num_d63_payrolls,num_d90_payrolls,apple brand search.spend,apple non-brand search.spend,direct-mail.spend,facebook.spend,google brand search.spend,google non-brand search.spend,google uac.spend,impact radius.spend,influencer.spend,misc.spend,podcast.spend,promo.spend,radio.spend,snapchat.spend,tiktok.spend,tv.spend,flagged_uvs,flagged_d35,flagged_d63,flagged_d90,covid,Ally,Chime,Varo,Sofi,prodege_spend,affiliate.spend,affiliate.var,referral,subscriptions_live,referral_100,pca_live,promocustom.spend,promocustom.var,snap_var_pred,snap_var_unmodeled
2019-03-01,626.0,4.0,0.0,353016.0,2241.0,0.0,44221.0,0.0,0.0,0.0,0.0,0.0,0.0,95378.55257050612,0.0,0.0,550,12,15,15,206.85,3.63,0.0,5000.0,416.08,0.0,398.49646,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,31,0,1,1,0.0,6.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95378.55257050612,0.0
2019-03-02,719.0,9.0,0.0,330045.0,1920.0,0.0,34251.0,0.0,0.0,0.0,0.0,0.0,0.0,95378.55257050612,0.0,0.0,634,11,14,17,201.07,2.57,0.0,4999.999999999999,467.19,0.0,325.43035,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,35,0,0,0,0.0,5.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95378.55257050612,0.0
2019-03-03,672.0,8.0,0.0,323756.0,2055.0,0.0,43418.0,0.0,0.0,0.0,0.0,0.0,0.0,95378.55257050612,0.0,0.0,683,15,22,25,188.05,6.89,0.0,4999.999999999999,426.58000000000004,0.0,469.10615,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,41,0,0,0,0.0,7.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95378.55257050612,0.0
2019-03-04,680.0,9.0,0.0,230066.0,2599.0,0.0,90248.0,0.0,0.0,0.0,0.0,0.0,0.0,95378.55257050612,0.0,0.0,485,6,11,13,182.18,5.54,0.0,3033.29,465.70000000000005,0.0,924.2546500000001,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,47,1,2,3,0.0,7.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95378.55257050612,0.0
2019-03-05,841.0,3.0,0.0,376789.0,2467.0,0.0,77155.0,0.0,0.0,0.0,0.0,0.0,0.0,95378.55257050612,0.0,0.0,648,14,25,29,160.67000000000002,2.48,0.0,5000.0,482.5299999999999,0.0,887.5344,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,45,2,2,2,0.0,8.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95378.55257050612,0.0
2019-03-06,738.0,4.0,0.0,753837.0,2631.0,0.0,88126.0,0.0,0.0,0.0,0.0,0.0,0.0,95378.55257050612,0.0,0.0,929,16,25,28,167.21,1.17,0.0,9705.099999999999,456.61,0.0,888.07009,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,54,1,3,3,0.0,6.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95378.55257050612,0.0
2019-03-07,834.0,0.0,0.0,667307.0,2541.0,0.0,98911.0,0.0,0.0,0.0,0.0,0.0,0.0,95378.55257050612,0.0,0.0,1112,25,38,43,156.89,0.0,0.0,7815.629999999999,463.32000000000005,0.0,952.8069800000001,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,61,1,2,2,0.0,7.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95378.55257050612,0.0
2019-03-08,1033.0,0.0,0.0,651519.0,2047.0,0.0,84043.0,0.0,0.0,0.0,0.0,0.0,0.0,94903.15472778137,0.0,0.0,771,17,24,26,249.86,0.0,0.0,5414.17,387.88,0.0,833.79646,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,57,0,1,2,0.0,6.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94903.15472778137,0.0
2019-03-09,1121.0,0.0,0.0,749034.0,1902.0,0.0,92015.0,0.0,0.0,0.0,0.0,0.0,0.0,94903.15472778137,0.0,0.0,905,15,17,17,314.21000000000004,0.0,0.0,6748.830000000001,375.4200000000001,0.0,935.08393,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,43,1,1,1,0.0,7.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94903.15472778137,0.0
2019-03-10,778.0,0.0,0.0,726264.0,2216.0,0.0,104434.0,0.0,0.0,0.0,0.0,0.0,0.0,95669.25835133229,0.0,0.0,979,23,35,40,240.18,0.0,0.0,7078.81,422.2199999999999,0.0,1026.10013,0.0,0.0,0.0,0.0,0.0,0.0,112.22999999999999,0.0,0.0,68,1,3,3,0.0,6.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95669.25835133229,0.0
