report_date,apple brand search.var,apple non-brand search.var,direct-mail.var,facebook.var,google brand search.var,google non-brand search.var,google uac.var,impact radius.var,influencer.var,misc.var,podcast.var,radio.var,snapchat.var,tiktok.var,tv.var,num_uvs,num_d35_payrolls,apple brand search.spend,apple non-brand search.spend,direct-mail.spend,facebook.spend,google brand search.spend,google non-brand search.spend,google uac.spend,impact radius.spend,influencer.spend,misc.spend,podcast.spend,radio.spend,snapchat.spend,tiktok.spend,tv.spend,flagged_users,covid,Ally,Chime,Varo,Sofi,revenue_impact,referral,other_promo
2019-03-03,0.0,0.0,0.0,323756.0,2055.0,0.0,43418.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,724,15,0.0,0.0,0.0,5000.0,426.57999999999987,0.0,469.10615,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,58,0.0,7.0,0,0,0,9152.660000000,0,0
2019-03-04,0.0,0.0,0.0,230066.0,2599.0,0.0,90248.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,532,7,0.0,0.0,0.0,3033.29,465.7,0.0,924.2546500000001,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,54,0.0,7.0,0,0,0,9153.730000000,0,0
2019-03-05,0.0,0.0,0.0,376789.0,2467.0,0.0,77155.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,693,16,0.0,0.0,0.0,4999.999999999999,482.53,0.0,887.5344,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,71,0.0,8.0,0,0,0,15583.460000000,0,0
2019-03-06,0.0,0.0,0.0,753837.0,2631.0,0.0,88126.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,983,17,0.0,0.0,0.0,9705.1,456.60999999999996,0.0,888.07009,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,88,0.0,6.0,0,0,0,9319.610000000,0,0
2019-03-07,0.0,0.0,0.0,667307.0,2541.0,0.0,98911.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1173,26,0.0,0.0,0.0,7815.63,463.32000000000005,0.0,952.8069800000001,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,120,0.0,7.0,0,0,0,7490.660000000,0,0
2019-03-08,0.0,0.0,0.0,651519.0,2047.0,0.0,84043.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,828,17,0.0,0.0,0.0,5414.17,387.88,0.0,833.79646,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,87,0.0,6.0,0,0,0,7371.680000000,0,0
2019-03-09,0.0,0.0,0.0,749034.0,1902.0,0.0,92015.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,948,16,0.0,0.0,0.0,6748.830000000001,375.41999999999996,0.0,935.08393,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,88,0.0,7.0,0,0,0,6340.720000000,0,0
2019-03-10,0.0,0.0,0.0,726264.0,2216.0,0.0,104434.0,0.0,0.0,0.0,0.0,0.0,112.22999999999999,0.0,0.0,1047,24,0.0,0.0,0.0,7078.8099999999995,422.22,0.0,1026.10013,0.0,0.0,0.0,0.0,0.0,112.22999999999999,0.0,0.0,105,0.0,6.0,0,0,0,8102.560000000,0,0
2019-03-11,0.0,0.0,0.0,805849.0,2064.0,0.0,103661.0,0.0,0.0,0.0,0.0,0.0,282.45000000000005,0.0,0.0,1044,25,0.0,0.0,0.0,7716.020000000002,401.64,0.0,918.2312400000001,0.0,0.0,0.0,0.0,0.0,282.45000000000005,0.0,0.0,119,0.0,6.0,0,0,0,11336.190000000,0,0
2019-03-12,0.0,0.0,0.0,343052.0,1584.0,0.0,65335.0,0.0,0.0,0.0,0.0,0.0,272.65,0.0,0.0,1084,27,0.0,0.0,0.0,3738.8399999999997,374.6,0.0,664.9340900000001,0.0,0.0,0.0,0.0,0.0,272.65,0.0,0.0,131,0.0,7.0,0,0,0,11263.010000000,0,0
2019-03-13,0.0,0.0,0.0,509690.0,1706.0,0.0,135587.0,0.0,2480.0,0.0,0.0,0.0,250.0,0.0,0.0,851,25,0.0,0.0,0.0,4397.0599999999995,361.77,0.0,1214.6934,0.0,2480.0,0.0,0.0,0.0,250.0,0.0,0.0,115,0.0,9.0,0,0,0,7817.110000000,0,0
2019-03-14,0.0,0.0,0.0,549668.0,1758.0,0.0,94470.0,0.0,1538.0,0.0,0.0,0.0,250.0,0.0,0.0,986,18,0.0,0.0,0.0,5191.11,409.04999999999995,0.0,846.3734199999999,0.0,1538.0,0.0,0.0,0.0,250.0,0.0,0.0,114,0.0,8.0,0,0,0,8083.540000000,0,0
2019-03-15,0.0,0.0,0.0,580038.0,1545.0,0.0,101726.0,0.0,496.0,0.0,0.0,0.0,250.0,0.0,0.0,1068,23,0.0,0.0,0.0,5500.160000000001,367.97999999999996,0.0,1069.26818,0.0,496.0,0.0,0.0,0.0,250.0,0.0,0.0,167,0.0,8.0,0,0,0,8123.600000000,0,0
2019-03-16,0.0,0.0,0.0,518496.0,1396.0,0.0,60439.0,0.0,198.4,0.0,0.0,0.0,250.0,0.0,0.0,991,16,0.0,0.0,0.0,4805.64,271.21,0.0,607.39569,0.0,198.4,0.0,0.0,0.0,250.0,0.0,0.0,147,0.0,6.0,0,0,0,6060.070000000,0,0
2019-03-17,0.0,0.0,0.0,536897.0,1438.0,0.0,51943.0,0.0,148.8,0.0,0.0,0.0,250.0,0.0,0.0,1053,26,0.0,0.0,0.0,4626.490000000001,324.61999999999995,0.0,649.74728,0.0,148.8,0.0,0.0,0.0,250.0,0.0,0.0,141,0.0,7.0,0,0,0,7116.190000000,0,0
2019-03-18,0.0,0.0,0.0,485447.0,1735.0,0.0,49203.0,0.0,99.2,0.0,0.0,0.0,250.0,0.0,0.0,962,27,0.0,0.0,0.0,4094.0099999999993,382.82000000000005,0.0,666.61132,0.0,99.2,0.0,0.0,0.0,250.0,0.0,0.0,132,0.0,8.0,0,0,0,6950.220000000,0,0
2019-03-19,0.0,0.0,0.0,513484.0,1701.0,0.0,67057.0,0.0,49.6,0.0,0.0,0.0,249.99999999999997,0.0,0.0,1035,21,0.0,0.0,0.0,4750.72,346.73,0.0,745.66324,0.0,49.6,0.0,0.0,0.0,249.99999999999997,0.0,0.0,134,0.0,8.0,0,0,0,7818.990000000,0,0
2019-03-20,0.0,0.0,0.0,413667.0,1565.0,0.0,63136.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0,938,10,0.0,0.0,0.0,4062.68,325.74999999999994,0.0,688.67255,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0,139,0.0,8.0,0,0,0,9121.300000000,0,0
